Step Id,Device_id,Model ID,Task ID,Stream ID,Name,Type,OP State,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim,Mix Block Dim,HF32 Eligible,Input Shapes,Input Data Types,Input Formats,Output Shapes,Output Data Types,Output Formats,Context ID,aicore_time(us),aic_total_cycles,aic_mac_time(us),aic_mac_ratio,aic_scalar_time(us),aic_scalar_ratio,aic_mte1_time(us),aic_mte1_ratio,aic_mte2_time(us),aic_mte2_ratio,aic_fixpipe_time(us),aic_fixpipe_ratio,aic_icache_miss_rate,aiv_time(us),aiv_total_cycles,aiv_vec_time(us),aiv_vec_ratio,aiv_scalar_time(us),aiv_scalar_ratio,aiv_mte2_time(us),aiv_mte2_ratio,aiv_mte3_time(us),aiv_mte3_ratio,aiv_icache_miss_rate,cube_utilization(%)
3,2,4294967295,53826,358,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1768879423072312.830	,7.700,0.000000,48,0,NO,"""4096,1,1,128;""",FLOAT;FLOAT,NCHW;ND,"""4096,1,1,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.371,550432,0.124,0.019,3.015,0.473,2.683,0.421,0.526,0.083,0.0,0.000
3,2,4294967295,53827,358,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1768879423072320.550	,4.980,0.050000,48,0,NO,"""4096,1,1,128""",FLOAT,NCHW,"""4096,1,1,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.868,247767,0.117,0.041,0.982,0.343,0.736,0.256,1.004,0.35,0.0,0.000
3,2,4294967295,53828,358,RotaryPositionEmbedding,RotaryPositionEmbedding,dynamic,AI_VECTOR_CORE,1768879423072325.550	,54.520,0.020000,48,0,NO,"""4096,1,28,128;4096,1,1,128;4096,1,1,128""",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"""4096,1,28,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.626,4374049,31.417,0.621,22.251,0.44,21.35,0.422,24.886,0.492,0.02,0.000
3,2,4294967295,53829,358,aclnnCat_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1768879423072380.090	,25.200,0.000000,48,0,NO,"""4096,1,28,128""",DT_BF16,NCHW,"""4096,1,28,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.228,1747725,0.008,0.0,0.221,0.011,7.179,0.355,8.997,0.445,0.137,0.000
3,2,4294967295,53830,358,aclnnCos_CosAiCore_Cos,Cos,dynamic,AI_VECTOR_CORE,1768879423072405.310	,14.220,0.050000,48,0,NO,"""4096,1,1,128""",FLOAT,NCHW,"""4096,1,1,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.252,972142,6.992,0.621,1.211,0.108,2.415,0.215,1.103,0.098,0.103,0.000
3,2,4294967295,53831,358,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1768879423072419.550	,7.820,0.030000,48,0,NO,"""4096,1,1,128;""",FLOAT;FLOAT,NCHW;ND,"""4096,1,1,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.409,553731,0.124,0.019,3.021,0.471,2.712,0.423,0.529,0.083,0.0,0.000
3,2,4294967295,53832,358,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1768879423072427.390	,10.640,0.180000,48,0,NO,"""4096,1,1,128""",FLOAT,NCHW,"""4096,1,1,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.405,726165,0.117,0.014,0.165,0.02,3.294,0.392,1.5,0.179,0.229,0.000
3,2,4294967295,53833,358,aclnnSin_SinAiCore_Sin,Sin,dynamic,AI_VECTOR_CORE,1768879423072438.050	,12.760,0.000000,48,0,NO,"""4096,1,1,128""",FLOAT,NCHW,"""4096,1,1,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.219,882914,6.618,0.648,0.376,0.037,2.077,0.203,0.674,0.066,0.062,0.000
3,2,4294967295,53834,358,aclnnMuls_MulAiCore_Mul,Mul,dynamic,AI_VECTOR_CORE,1768879423072450.830	,7.460,0.000000,48,0,NO,"""4096,1,1,128;""",FLOAT;FLOAT,NCHW;ND,"""4096,1,1,128""",FLOAT,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.078,525111,0.124,0.02,2.847,0.468,2.551,0.42,0.529,0.087,0.0,0.000
3,2,4294967295,53835,358,aclnnCast_CastAiCore_Cast,Cast,dynamic,AI_VECTOR_CORE,1768879423072458.310	,4.400,0.040000,48,0,NO,"""4096,1,1,128""",FLOAT,NCHW,"""4096,1,1,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.371,204869,0.117,0.049,0.929,0.392,0.639,0.269,0.657,0.277,0.0,0.000
3,2,4294967295,53836,358,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1768879423072462.730	,13.440,0.100000,48,0,NO,"""4096,4,1152;3;3""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""4096,4,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.306,890454,0.008,0.001,0.363,0.035,3.521,0.342,2.536,0.246,0.26,0.000
3,2,4294967295,53837,358,RotaryPositionEmbedding,RotaryPositionEmbedding,dynamic,AI_VECTOR_CORE,1768879423072476.190	,22.060,0.060000,48,0,NO,"""4096,1,4,128;4096,1,1,128;4096,1,1,128""",DT_BF16;DT_BF16;DT_BF16,ND;ND;ND,"""4096,1,4,128""",DT_BF16,ND,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.564,1603967,4.815,0.259,5.301,0.286,7.797,0.42,5.253,0.283,0.071,0.000
3,2,4294967295,53838,358,aclnnCat_TensorMoveAiCore_TensorMove,TensorMove,dynamic,AI_VECTOR_CORE,1768879423072498.270	,18.180,0.000000,48,0,NO,"""4096,1,4,128""",DT_BF16,NCHW,"""4096,1,4,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.253,1404239,0.008,0.0,4.203,0.259,5.781,0.356,2.479,0.153,0.254,0.000
3,2,4294967295,53839,358,aclnnInplaceCopy_SliceAiCore_Slice,Slice,dynamic,AI_VECTOR_CORE,1768879423072516.470	,10.380,0.070000,48,0,NO,"""4096,4,1152;3;3""",DT_BF16;INT64;INT64,NCHW;ND;ND,"""4096,4,128""",DT_BF16,NCHW,N/A,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.673,749317,0.008,0.001,0.377,0.043,3.71,0.428,0.881,0.102,0.095,0.000
